"status","url","link text","redirect","On page"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#student-discounts"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-view-model-action","Learn more about Rive / Set View Model actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-property-action","Learn more about Rive / Data Model Property actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-list-action","Learn more about Rive / Set Data Model List actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-playback-action","Learn more about Set Rive Playback actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-input-action","Learn more about Set Rive Input actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-artboard-action","Learn more about Set Rive Artboard actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-text-action","Learn more about Rive / Set Text actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-mute-action","Learn more about Set Rive Mute actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-volume","Learn more about Set Rive Volume actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-list"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-view-model-action","Learn more about Rive / Set View Model actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-property-action","Learn more about Rive / Data Model Property actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-list-action","Learn more about Rive / Set Data Model List actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-playback-action","Learn more about Set Rive Playback actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-input-action","Learn more about Set Rive Input actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-artboard-action","Learn more about Set Rive Artboard actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-text-action","Learn more about Rive / Set Text actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-mute-action","Learn more about Set Rive Mute actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-volume","Learn more about Set Rive Volume actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-data-model-property"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-view-model-action","Learn more about Rive / Set View Model actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-view-model-instance"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-property-action","Learn more about Rive / Data Model Property actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-view-model-instance"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-list-action","Learn more about Rive / Set Data Model List actions","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-view-model-instance"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview#set-a-view-model-instance"
